time,mouse_key
2021-02-01T17:25:12.973,"{}"
2021-02-01T17:25:12.977,"{}"
2021-02-01T17:25:12.981,"{}"
2021-02-01T17:25:12.986,"{}"
2021-02-01T17:25:12.992,"{}"
2021-02-01T17:25:12.993,"{}"
2021-02-01T17:25:12.997,"{}"
2021-02-01T17:25:13.001,"{}"
2021-02-01T17:25:13.005,"{}"
2021-02-01T17:25:13.013,"{}"
2021-02-01T17:25:13.017,"{}"
2021-02-01T17:25:13.020,"{}"
2021-02-01T17:25:13.024,"{}"
2021-02-01T17:25:13.028,"{}"
2021-02-01T17:25:13.032,"{}"
2021-02-01T17:25:13.037,"{}"
2021-02-01T17:25:13.044,"{}"
2021-02-01T17:25:13.047,"{}"
2021-02-01T17:25:13.051,"{}"
2021-02-01T17:25:13.055,"{}"
2021-02-01T17:25:13.062,"{}"
2021-02-01T17:25:13.066,"{}"
2021-02-01T17:25:13.070,"{}"
2021-02-01T17:25:13.074,"{}"
2021-02-01T17:25:13.078,"{}"
2021-02-01T17:25:13.082,"{}"
2021-02-01T17:25:13.089,"{}"
2021-02-01T17:25:13.094,"{}"
2021-02-01T17:25:13.095,"{}"
2021-02-01T17:25:13.099,"{}"
2021-02-01T17:25:13.103,"{}"
2021-02-01T17:25:13.107,"{}"
2021-02-01T17:25:13.112,"{}"
2021-02-01T17:25:13.116,"{}"
2021-02-01T17:25:13.119,"{}"
2021-02-01T17:25:13.123,"{}"
2021-02-01T17:25:13.128,"{}"
2021-02-01T17:25:13.131,"{}"
2021-02-01T17:25:13.137,"{}"
2021-02-01T17:25:13.143,"{}"
2021-02-01T17:25:13.144,"{}"
2021-02-01T17:25:13.147,"{}"
2021-02-01T17:25:13.151,"{}"
2021-02-01T17:25:13.155,"{}"
2021-02-01T17:25:13.160,"{}"
2021-02-01T17:25:13.165,"{}"
2021-02-01T17:25:13.170,"{}"
2021-02-01T17:25:13.174,"{}"
2021-02-01T17:25:13.177,"{}"
2021-02-01T17:25:13.180,"{}"
2021-02-01T17:25:13.185,"{}"
2021-02-01T17:25:13.189,"{}"
2021-02-01T17:25:13.193,"{}"
2021-02-01T17:25:13.199,"{}"
2021-02-01T17:25:13.202,"{}"
2021-02-01T17:25:13.205,"{}"
2021-02-01T17:25:13.210,"{}"
2021-02-01T17:25:13.213,"{}"
2021-02-01T17:25:13.217,"{}"
2021-02-01T17:25:13.222,"{}"
2021-02-01T17:25:13.227,"{}"
2021-02-01T17:25:13.230,"{}"
2021-02-01T17:25:13.234,"{}"
2021-02-01T17:25:13.238,"{}"
2021-02-01T17:25:13.242,"{}"
2021-02-01T17:25:13.248,"{}"
2021-02-01T17:25:13.251,"{}"
2021-02-01T17:25:13.255,"{}"
2021-02-01T17:25:13.259,"{}"
2021-02-01T17:25:13.263,"{}"
2021-02-01T17:25:13.267,"{}"
2021-02-01T17:25:13.273,"{}"
2021-02-01T17:25:13.277,"{}"
2021-02-01T17:25:13.280,"{}"
2021-02-01T17:25:13.284,"{}"
2021-02-01T17:25:13.288,"{}"
2021-02-01T17:25:13.293,"{}"
2021-02-01T17:25:13.297,"{}"
2021-02-01T17:25:13.302,"{}"
2021-02-01T17:25:13.305,"{}"
2021-02-01T17:25:13.309,"{}"
2021-02-01T17:25:13.313,"{}"
2021-02-01T17:25:13.317,"{}"
2021-02-01T17:25:13.323,"{}"
2021-02-01T17:25:13.327,"{}"
2021-02-01T17:25:13.330,"{}"
2021-02-01T17:25:13.334,"{}"
2021-02-01T17:25:13.338,"{}"
2021-02-01T17:25:13.348,"{}"
2021-02-01T17:25:13.352,"{}"
2021-02-01T17:25:13.354,"{}"
2021-02-01T17:25:13.359,"{}"
2021-02-01T17:25:13.363,"{}"
2021-02-01T17:25:13.369,"{}"
2021-02-01T17:25:13.373,"{}"
2021-02-01T17:25:13.376,"{}"
2021-02-01T17:25:13.380,"{}"
2021-02-01T17:25:13.384,"{}"
2021-02-01T17:25:13.388,"{}"
2021-02-01T17:25:13.395,"{}"
2021-02-01T17:25:13.399,"{}"
2021-02-01T17:25:13.401,"{}"
2021-02-01T17:25:13.405,"{}"
2021-02-01T17:25:13.410,"{}"
2021-02-01T17:25:13.413,"{}"
2021-02-01T17:25:13.417,"{}"
2021-02-01T17:25:13.422,"{}"
2021-02-01T17:25:13.427,"{}"
2021-02-01T17:25:13.430,"{}"
2021-02-01T17:25:13.434,"{}"
2021-02-01T17:25:13.438,"{}"
2021-02-01T17:25:13.444,"{}"
2021-02-01T17:25:13.447,"{}"
2021-02-01T17:25:13.452,"{}"
2021-02-01T17:25:13.455,"{}"
2021-02-01T17:25:13.459,"{}"
2021-02-01T17:25:13.463,"{}"
2021-02-01T17:25:13.467,"{}"
2021-02-01T17:25:13.473,"{}"
2021-02-01T17:25:13.476,"{}"
2021-02-01T17:25:13.480,"{}"
2021-02-01T17:25:13.484,"{}"
2021-02-01T17:25:13.488,"{}"
2021-02-01T17:25:13.494,"{}"
2021-02-01T17:25:13.497,"{}"
2021-02-01T17:25:13.501,"{}"
2021-02-01T17:25:13.505,"{}"
2021-02-01T17:25:13.509,"{}"
2021-02-01T17:25:13.513,"{}"
2021-02-01T17:25:13.517,"{}"
2021-02-01T17:25:13.520,"{}"
2021-02-01T17:25:13.525,"{}"
2021-02-01T17:25:13.530,"{}"
2021-02-01T17:25:13.533,"{}"
2021-02-01T17:25:13.537,"{}"
2021-02-01T17:25:13.541,"{}"
2021-02-01T17:25:13.546,"{}"
2021-02-01T17:25:13.552,"{}"
2021-02-01T17:25:13.555,"{}"
2021-02-01T17:25:13.559,"{}"
2021-02-01T17:25:13.563,"{}"
2021-02-01T17:25:13.568,"{}"
2021-02-01T17:25:13.571,"{}"
2021-02-01T17:25:13.575,"{}"
2021-02-01T17:25:13.579,"{}"
2021-02-01T17:25:13.583,"{}"
2021-02-01T17:25:13.587,"{}"
2021-02-01T17:25:13.594,"{}"
2021-02-01T17:25:13.598,"{}"
2021-02-01T17:25:13.601,"{}"
2021-02-01T17:25:13.605,"{}"
